"PS code, 2020",California Census tracts ,"Number of people in state prison from each Census tract, 2020","Census population, 2020","Total population, 2020","Imprisonment rate per 100,000"
6037195903,"Los Angeles County, Census Tract 1959.03",12,"1,988","1,976",607
6037197200,"Los Angeles County, Census Tract 1972",8,"3,287","3,295",243
6037197300,"Los Angeles County, Census Tract 1973",13,"3,650","3,663",355
6037197410,"Los Angeles County, Census Tract 1974.1",13,"3,707","3,720",349
6037197420,"Los Angeles County, Census Tract 1974.2",9,"3,376","3,385",266
6037197500,"Los Angeles County, Census Tract 1975",5,"3,973","3,978",126
6037197600,"Los Angeles County, Census Tract 1976",8,"2,431","2,439",328
6037197700,"Los Angeles County, Census Tract 1977",17,"4,565","4,582",371
6037199001,"Los Angeles County, Census Tract 1990.01",5,"2,552","2,557",196
6037199002,"Los Angeles County, Census Tract 1990.02",13,"2,913","2,926",444
6037199110,"Los Angeles County, Census Tract 1991.1",20,"2,377","2,397",834
6037199120,"Los Angeles County, Census Tract 1991.2",25,"3,777","3,802",658
6037199201,"Los Angeles County, Census Tract 1992.01",21,"3,584","3,605",583
6037199202,"Los Angeles County, Census Tract 1992.02",22,"2,785","2,807",784
6037199300,"Los Angeles County, Census Tract 1993",24,"3,545","3,569",672
6037199400,"Los Angeles County, Census Tract 1994",20,"4,470","4,490",445
6037199700,"Los Angeles County, Census Tract 1997",13,"3,393","3,406",382
6037199801,"Los Angeles County, Census Tract 1998.01",17,"3,036","3,053",557
6037199802,"Los Angeles County, Census Tract 1998.02",10,"2,144","2,154",464
6037199900,"Los Angeles County, Census Tract 1999",15,"2,641","2,656",565
6037201110,"Los Angeles County, Census Tract 2011.1",16,"2,332","2,348",681
6037201120,"Los Angeles County, Census Tract 2011.2",22,"4,395","4,417",498
6037201200,"Los Angeles County, Census Tract 2012",12,"2,362","2,374",505
6037201301,"Los Angeles County, Census Tract 2013.01",16,"3,409","3,425",467
6037201302,"Los Angeles County, Census Tract 2013.02",9,"3,882","3,891",231
6037201401,"Los Angeles County, Census Tract 2014.01",22,"4,701","4,723",466
6037201402,"Los Angeles County, Census Tract 2014.02",11,"4,046","4,057",271
6037201501,"Los Angeles County, Census Tract 2015.01",20,"4,974","4,994",400
6037201503,"Los Angeles County, Census Tract 2015.03",9,"3,059","3,068",293
6037201504,"Los Angeles County, Census Tract 2015.04",4,"2,254","2,258",177
6037201601,"Los Angeles County, Census Tract 2016.01",10,"2,183","2,193",456
6037201602,"Los Angeles County, Census Tract 2016.02",19,"2,686","2,705",702
6037201700,"Los Angeles County, Census Tract 2017",15,"5,055","5,070",296
6037203100,"Los Angeles County, Census Tract 2031",29,"4,688","4,717",615
6037203200,"Los Angeles County, Census Tract 2032",15,"4,264","4,279",351
6037203300,"Los Angeles County, Census Tract 2033",14,"2,280","2,294",610
6037203500,"Los Angeles County, Census Tract 2035",13,"2,751","2,761",471
6037203601,"Los Angeles County, Census Tract 2036.01",24,"2,662","2,686",894
6037203602,"Los Angeles County, Census Tract 2036.02",13,"2,124","2,137",608
6037203710,"Los Angeles County, Census Tract 2037.1",17,"3,087","3,104",548
6037203720,"Los Angeles County, Census Tract 2037.2",18,"3,580","3,598",500
6037203800,"Los Angeles County, Census Tract 2038",18,"4,502","4,520",398
6037203900,"Los Angeles County, Census Tract 2039",12,"2,611","2,623",457
6037204110,"Los Angeles County, Census Tract 2041.1",11,"2,811","2,822",390
6037204120,"Los Angeles County, Census Tract 2041.2",8,"2,368","2,376",337
6037204200,"Los Angeles County, Census Tract 2042",21,"3,393","3,414",615
6037204300,"Los Angeles County, Census Tract 2043",20,"4,433","4,453",449
6037204410,"Los Angeles County, Census Tract 2044.1",10,"2,174","2,184",458
6037204420,"Los Angeles County, Census Tract 2044.2",22,"2,870","2,892",761
6037204600,"Los Angeles County, Census Tract 2046",11,"3,740","3,751",293
6037204700,"Los Angeles County, Census Tract 2047",20,"4,632","4,652",430
6037204810,"Los Angeles County, Census Tract 2048.1",34,"5,166","5,200",654
6037204820,"Los Angeles County, Census Tract 2048.2",7,"2,055","2,062",339
6037204910,"Los Angeles County, Census Tract 2049.1",12,"3,184","3,196",375
6037204920,"Los Angeles County, Census Tract 2049.2",13,"2,537","2,550",510
6037205110,"Los Angeles County, Census Tract 2051.1",31,"3,850","3,881",799
6037205120,"Los Angeles County, Census Tract 2051.2",19,"3,858","3,877",490
6037206010,"Los Angeles County, Census Tract 2060.1",20,"3,335","3,355",596
6037206020,"Los Angeles County, Census Tract 2060.2",15,"5,577","5,592",268
6037206050,"Los Angeles County, Census Tract 2060.5",17,"2,312","2,329",730
6037206051,"Los Angeles County, Census Tract 2060.51",22,"2,591","2,613",842
6037206052,"Los Angeles County, Census Tract 2060.52",18,"3,296","3,314",543
6037206053,"Los Angeles County, Census Tract 2060.53",10,"3,261","3,271",306
6037206054,"Los Angeles County, Census Tract 2060.54",14,"2,670","2,684",522
6037206201,"Los Angeles County, Census Tract 2062.01",6,"2,647","2,653",226
6037206202,"Los Angeles County, Census Tract 2062.02",10,"3,035","3,045",328
6037206301,"Los Angeles County, Census Tract 2063.01",20,"2,074","2,094",955
6037206302,"Los Angeles County, Census Tract 2063.02",3,"1,375","1,378",218
6037206303,"Los Angeles County, Census Tract 2063.03",15,"2,858","2,873",522
