Census Tract,PM2.5 Score,PM2.5 Weight,Pollution Burden Score,PB Weight,Education Score,Edu Weight,Poverty Score,Pov Weight,Unemployment Score,Unemp Weight,Housing Burden Score,HB Weight,Ling Iso Score,LI Weight,Incarceration Score,Incar Weight,Avg. Energy Burden (% income),Energy Burden Score,EB Weight,Cumulative Weighted Score (Ignore NaNs)
6037920114,4.621235803,,5.41,,0.7400740074,,1.151187256,,3.502,,4.899449725,,3.465,,0.2022244692,,1,0,,2.43033077
6037920115,4.735854955,,6.13,,2.330233023,,1.876565474,,0.557,,3.523761881,,4.044,,0.4448938322,,1,0,,2.07178191
6037920116,3.136396791,,4.39,,2.137213721,,2.303376415,,4.184,,1.687843922,,3.646,,1.324570273,,2,1.428571429,,2.5295682
6037920118,3.890799208,,6.22,,1.202120212,,0.6752830378,,4.826,,0.08004002001,,2.555,,1.516683519,,2,1.428571429,,2.084076849
6037920119,3.234344066,,3.71,,0.8420842084,,1.487826871,,5.389,,3.578789395,,1.726,,0.3437815976,,1,0,,2.305343152
6037920120,N/A,,N/A,,N/A,,N/A,,N/A,,N/A,,N/A,,1.60768453,,,N/A,,0
6037920121,N/A,,N/A,,N/A,,N/A,,N/A,,N/A,,N/A,,0.8594539939,,,N/A,,0
6037920200,3.537563822,,4.8,,9.269926993,,N/A,,N/A,,N/A,,N/A,,0.1617795753,,,N/A,,0
6037920303,4.76086277,,5.76,,0.8420842084,,2.279330728,,2.82,,7.566783392,,5.979,,0.06066734075,,2,1.428571429,,3.402206378
6037920312,4.669167448,,6.39,,3.95339534,,4.543632903,,3.771,,7.477738869,,4.281,,2.932254803,,2,1.428571429,,4.287746012
6037920313,4.727519016,,5.23,,4.590459046,,4.180943793,,3.644,,3.170585293,,2.953,,2.315470172,,2,1.428571429,,3.336566873
6037920314,4.619151818,,5.89,,0.9730973097,,2.804328224,,3.921,,5.783891946,,2.058,,0.9201213347,,2,1.428571429,,3.141290696
6037920322,4.685839325,,5.01,,2.02920292,,2.692115019,,7.71,,1.304652326,,4.144,,1.769464105,,2,1.428571429,,3.287536226
6037920326,4.548296343,,5.61,,0.8420842084,,3.065825068,,7.253,,5.510755378,,6.224,,1.365015167,,2,1.428571429,,4.029997826
6037920328,4.698343232,,5.85,,1.202120212,,2.303376415,,2.941,,4.226113057,,1.228,,2.891809909,,1,0,,2.515802334
6037920329,4.812962384,,6.43,,1.202120212,,2.316401162,,3.771,,0.6053026513,,0.281,,0.5763397371,,2,1.428571429,,2.06691533
6037920330,4.802542461,,5.64,,3.294329433,,2.303376415,,0.321,,5.510755378,,4.281,,0.4448938322,,2,1.428571429,,2.741756016
6037920331,4.725435032,,4.47,,2.167216722,,0.5380222423,,0.972,,0.1690845423,,2.217,,4.368048534,,2,1.428571429,,1.672719877
6037920332,4.541002397,,4.8,,3.216321632,,1.995792005,,6.563,,3.476738369,,3.13,,0.839231547,,2,1.428571429,,3.263471172
6037920334,4.793164531,,5.21,,1.03110311,,3.237150586,,7.776,,1.049524762,,3.002,,1.223458038,,2,1.428571429,,3.146738837
6037920336,4.472230905,,6.05,,9.089908991,,8.915940287,,6.153,,8.787393697,,8.454,,N/A,,3,2.857142857,,0
